region 235: cartogram area = -42.516305, relative error = -0.000889
region 236: cartogram area = -44.424695, relative error = 0.000438
region 237: cartogram area = -42.976453, relative error = -0.000224
region 239: cartogram area = -34.464451, relative error = -0.000194
region 240: cartogram area = -32.552428, relative error = 0.000450
region 241: cartogram area = -42.916835, relative error = -0.000654
region 242: cartogram area = -45.719035, relative error = 0.000845
region 243: cartogram area = -50.350665, relative error = -0.001196
region 244: cartogram area = -53.419667, relative error = 0.001653
region 245: cartogram area = -55.572201, relative error = -0.001868
region 246: cartogram area = -56.193309, relative error = 0.002253
region 247: cartogram area = -52.974894, relative error = -0.002842
region 248: cartogram area = -51.344555, relative error = 0.003373
region 250: cartogram area = -44.744527, relative error = -0.002980
region 251: cartogram area = -105.413668, relative error = 0.003771
region 252: cartogram area = -239.397116, relative error = -0.004057
region 253: cartogram area = -252.529453, relative error = 0.004671
region 254: cartogram area = -246.713785, relative error = -0.004538
region 255: cartogram area = -230.091451, relative error = 0.004682
region 256: cartogram area = -211.514038, relative error = -0.004270
region 257: cartogram area = -210.902103, relative error = 0.004520
region 258: cartogram area = -194.939792, relative error = -0.005034
region 259: cartogram area = -187.325713, relative error = 0.004395
region 261: cartogram area = -138.615470, relative error = -0.004352
region 262: cartogram area = -126.073284, relative error = 0.004051
region 263: cartogram area = -149.150117, relative error = -0.003060
region 264: cartogram area = -80.328347, relative error = 0.003493
region 265: cartogram area = -39.941886, relative error = -0.002573
region 266: cartogram area = -43.212976, relative error = 0.001923
region 267: cartogram area = -39.332247, relative error = -0.001384
region 268: cartogram area = -37.237856, relative error = 0.000840
region 269: cartogram area = -33.359228, relative error = -0.000654
region 270: cartogram area = -28.926011, relative error = 0.000280
region 272: cartogram area = -49.310332, relative error = 0.000204
region 273: cartogram area = -50.392096, relative error = -0.000374
region 274: cartogram area = -52.025165, relative error = 0.000587
region 275: cartogram area = -55.627469, relative error = -0.000876
region 276: cartogram area = -53.725022, relative error = 0.001200
region 277: cartogram area = -50.146652, relative error = -0.001985
region 278: cartogram area = -51.634072, relative error = 0.002183
region 279: cartogram area = -48.275424, relative error = -0.002478
region 280: cartogram area = -51.995586, relative error = 0.003193
region 281: cartogram area = -203.852985, relative error = -0.002575
region 283: cartogram area = -246.583830, relative error = 0.003768
region 284: cartogram area = -234.745844, relative error = -0.004150
region 285: cartogram area = -194.741536, relative error = 0.004180
region 286: cartogram area = -207.400693, relative error = -0.004256
region 287: cartogram area = -207.930772, relative error = 0.004239
region 288: cartogram area = -187.313931, relative error = -0.004234
region 289: cartogram area = -163.964977, relative error = 0.004668
region 290: cartogram area = -114.720841, relative error = -0.005213
region 291: cartogram area = -103.356649, relative error = 0.005450
region 292: cartogram area = -110.719828, relative error = -0.004762
region 294: cartogram area = -105.626201, relative error = 0.005204
region 295: cartogram area = -42.020645, relative error = -0.005326
region 296: cartogram area = -36.555479, relative error = 0.005853
region 297: cartogram area = -34.702104, relative error = -0.004584
region 298: cartogram area = -37.710355, relative error = 0.003005
region 299: cartogram area = -35.290186, relative error = -0.002429
region 300: cartogram area = -30.774320, relative error = 0.001512
region 301: cartogram area = -42.576061, relative error = -0.000934
region 302: cartogram area = -49.351441, relative error = 0.000620
region 303: cartogram area = -56.070447, relative error = -0.000305
region 306: cartogram area = -53.258161, relative error = -0.000219
region 307: cartogram area = -52.264634, relative error = 0.000444
region 308: cartogram area = -51.481659, relative error = -0.000775
region 309: cartogram area = -50.898927, relative error = 0.001103
region 310: cartogram area = -65.950326, relative error = -0.001081
region 311: cartogram area = -243.582316, relative error = 0.001443
region 312: cartogram area = -278.697824, relative error = -0.001812
region 313: cartogram area = -251.873136, relative error = 0.002716
region 314: cartogram area = -213.308346, relative error = -0.003255
region 315: cartogram area = -176.025958, relative error = 0.003100
region 317: cartogram area = -162.942820, relative error = -0.003102
region 318: cartogram area = -107.267589, relative error = 0.003925
region 319: cartogram area = -105.578757, relative error = -0.004406
region 320: cartogram area = -89.699971, relative error = 0.004433
region 321: cartogram area = -101.116856, relative error = -0.004789
region 322: cartogram area = -98.833153, relative error = 0.005294
region 323: cartogram area = -192.385987, relative error = -0.004376
region 324: cartogram area = -117.092252, relative error = 0.005665
region 325: cartogram area = -67.611643, relative error = -0.006256
region 326: cartogram area = -28.145168, relative error = 0.007680
region 328: cartogram area = -36.963455, relative error = -0.008727
region 329: cartogram area = -33.831044, relative error = 0.007274
region 330: cartogram area = -30.764819, relative error = -0.006114
region 331: cartogram area = -40.247755, relative error = 0.004034
region 332: cartogram area = -42.981212, relative error = -0.002975
region 333: cartogram area = -53.442248, relative error = 0.002076
region 334: cartogram area = -48.400553, relative error = -0.001589
region 335: cartogram area = -49.712964, relative error = 0.001269
region 336: cartogram area = -48.568085, relative error = -0.000677
region 337: cartogram area = -56.193272, relative error = 0.000417
region 339: cartogram area = -51.410459, relative error = 0.000239
region 340: cartogram area = -121.427922, relative error = -0.000529
region 341: cartogram area = -290.063042, relative error = 0.000637
region 342: cartogram area = -287.990873, relative error = -0.000982
region 343: cartogram area = -274.073467, relative error = 0.001545
region 344: cartogram area = -252.906906, relative error = -0.001670
region 345: cartogram area = -179.670260, relative error = 0.001908
region 346: cartogram area = -117.392769, relative error = -0.002328
region 347: cartogram area = -98.436035, relative error = 0.003144
region 348: cartogram area = -94.998255, relative error = -0.003054
region 350: cartogram area = -103.745631, relative error = 0.004012
region 351: cartogram area = -92.701778, relative error = -0.004154
region 352: cartogram area = -94.262796, relative error = 0.003964
region 353: cartogram area = -169.987828, relative error = -0.003391
region 354: cartogram area = -114.928703, relative error = 0.004834
region 355: cartogram area = -83.732845, relative error = -0.006073
region 356: cartogram area = -37.734434, relative error = 0.006950
region 357: cartogram area = -31.340834, relative error = -0.009874
region 358: cartogram area = -36.097664, relative error = 0.008089
region 359: cartogram area = -35.480285, relative error = -0.007442
region 361: cartogram area = -40.074587, relative error = 0.005907
region 362: cartogram area = -41.625847, relative error = -0.005960
region 363: cartogram area = -46.527947, relative error = 0.004979
region 364: cartogram area = -45.734260, relative error = -0.003755
region 365: cartogram area = -47.527290, relative error = 0.002950
region 366: cartogram area = -46.198253, relative error = -0.002142
region 367: cartogram area = -51.833287, relative error = 0.001651
region 368: cartogram area = -52.783752, relative error = -0.001025
region 369: cartogram area = -51.072610, relative error = 0.000875
region 370: cartogram area = -134.922881, relative error = -0.000304
region 372: cartogram area = -273.116261, relative error = -0.000300
region 373: cartogram area = -237.578047, relative error = 0.000618
region 374: cartogram area = -242.079977, relative error = -0.000847
region 375: cartogram area = -232.039800, relative error = 0.001053
region 376: cartogram area = -140.205135, relative error = -0.001343
region 377: cartogram area = -86.468307, relative error = 0.001697
